,Brand,Models,Prices,Ranges,BatteryRange
59,Komaki,Komaki XGT CAT 2.0	,"96,207	",95,1.25
60,Atumobile,Atumobile Atum Version 1.0	,"74,999	",100,5.18
61,Joy,Joy e-bike Beast	,2.42 Lakh	,110,5.04
62,ABZO,ABZO VS01	,2.23 Lakh	,180,4.4
63,Kabira,Kabira Mobility KM 4000	,1.76 Lakh	,150,2.3
64,Atumobile,Atumobile AtumVader	,"99,999	",100,3.5
65,PURE,PURE EV eTryst 350	,1.49 Lakh	,90,7.2
66,Srivaru,Srivaru Motors Prana	,2.25 Lakh	,225,3
67,PURE,PURE EV EcoDryft	,1.19 Lakh	,80,2.17
68,Komaki,Komaki MX3	,"95,000	",85,2.1
69,Komaki,Komaki XGT Classic	,1.11 Lakh	,105,2.88
70,Rowwet,Rowwet Trono	,1.80 Lakh	,,3.31
71,Komaki,Komaki DT 3000	,1.21 Lakh	,,1.56
72,Birla,Birla V6	,1.59 Lakh	,140,3.7
73,Odysse,Odysse Electric VADER	,1.09 Lakh	,,1.66
74,Joy,Joy e-bike Monster	,1.10 Lakh	,75,5.18
75,Joy,Joy e-bike Thunderbolt	,2.33 Lakh	,110,
76,Volvo,Volvo C40 Recharge	,61.25 Lakh	,530,78
77,Tata,Tata Tiago EV	,8.69 Lakh	,315,24
78,MG,MG Comet EV	,7.98 Lakh	,230,17.3
79,Kia,Kia EV6	,60.95 Lakh	,708,77.4
80,Mahindra,Mahindra XUV400 EV	,15.99 Lakh	,456,39.4
81,BMW,BMW i7	,2.03 Crore	,590,101.7
82,BMW,BMW i4	,73.90 Lakh	,493,83.9
83,BMW,BMW iX	,1.21 Crore	,372,71
84,Audi,Audi e-tron GT	,1.70 Crore	,388,93.4
85,Tata,Tata Tigor EV	,12.49 Lakh	,315,26
86,MG,MG ZS EV	,23.38 Lakh	,461,50.3
87,Hyundai,Hyundai Kona Electric	,23.84 Lakh	,452,39.2
88,Audi,Audi e-tron	,1.02 Crore	,359,95
89,Mercedes-Benz,Mercedes-Benz EQS	,1.59 Crore	,857,107.8
90,BYD,BYD Atto 3	,33.99 Lakh	,521,60.48
91,Porsche,Porsche Taycan	,1.60 Crore	,395,93.4
92,Citroen,Citroen eC3	,11.50 Lakh	,320,29.2
93,BYD,BYD E6	,29.15 Lakh	,415,71.7
94,Jaguar,Jaguar I-Pace	,1.19 Crore	,446,90
95,BMW,BMW iX1	,66.90 Lakh	,417,66.4
96,Mercedes-Benz,Mercedes-Benz EQE SUV	,1.39 Crore	,550,90.56
97,Audi,Audi RS e-tron GT	,1.93 Crore	,401,93.4
98,PMV,PMV EaS E	,4.79 Lakh	,160,10
99,Strom,Strom Motors R3	,4.50 Lakh	,200,200
100,Volvo,Volvo XC40 Recharge	,56.90 Lakh	,418,78
101,Mini,Mini Cooper SE	,53.50 Lakh	,270,32.6
102,Hyundai,Hyundai IONIQ 5	,45.95 Lakh	,631,72.6
103,Mercedes-Benz,Mercedes-Benz EQB	,77.50 Lakh	,423,66.5
104,Audi,Audi Q8 e-tron	,1.13 Crore	,582,114
105,Pravaig,Pravaig DEFY	,39.50 Lakh	,500,90
106,Tata,Tata Nexon EV	,14.74 Lakh	,465,30
107,Mercedes-Benz,Mercedes-Benz AMG EQS	,2.45 Crore	,526,107.8
108,Audi,Audi Q8 Sportback e-tron	,1.18 Crore	,600,114
109,Ola,Ola S1 Pro	,1.39 Lakh	,195,4
110,TVS,TVS iQube Electric	,1.55 Lakh	,100,3.04
111,Ather,Ather 450X	,1.37 Lakh	,150,
112,Hero,Hero Electric Optima	,1.06 Lakh	,135,2
113,Bajaj,Bajaj Chetak	,1.63 Lakh	,108,3
114,Ola,Ola S1 Air	,1.19 Lakh	,101,5
115,Simple,Simple One	,1.45 Lakh	,212,3.94
116,Vida,Vida V1	,1.45 Lakh	,110,4
117,Ola,Ola S1 X	,"89,999	",151,
118,River,River Indie	,1.25 Lakh	,120,0.98
119,TVS,TVS X Electric Scooter	,2.49 Lakh	,80,
120,Yulu,Yulu Wynn	,"55,555	",,2.29
121,Ampere,Ampere Magnus EX	,1.04 Lakh	,121,1.9
122,Bounce,Bounce Infinity E1	,1.02 Lakh	,85,2
123,Okinawa,Okinawa PraisePro	,"99,645	",88,1.56
124,AMO,AMO Electric Jaunty-3W	,"62,964	",75,1.68
125,Kinetic,Kinetic Green Zing	,"71,500	",100,2
126,BGauss,BGauss C12i	,"99,999	",135,3.53
127,Hero,Hero Electric NYX	,"73,590	",130,0.96
128,Okaya,Okaya Faast	,1.24 Lakh	,140,1.32
129,Avon,Avon E Scoot	,"45,000	",65,0.58
130,Kinetic,Kinetic Green Zoom	,"75,100	",100,1.54
131,Avon,Avon E Plus	,"25,000	",50,1.54
132,Hero,Hero Electric Flash	,"59,640	",85,2.52
133,Hero,Hero Electric Atria	,"77,690	",,
134,Ozotec,Ozotec Bheem	,"65,990	",85,3
135,Hop,Hop Electric LEO	,"84,360	",125,3.1
136,eblu,eblu Feo	,"99,999	",,2.18
137,PURE,PURE EV Epluto 7G	,"89,999	",90,2.88
138,BattRE,BattRE Electric Storie	,1.17 Lakh	,132,
139,Joy,Joy e-bike Gen Next Nanu Plus	,1.12 Lakh	,100,1.5
140,BattRE,BattRE Electric LoEV	,"68,900	",60,1.25
141,Benling,Benling Aura	,1.21 Lakh	,120,
142,AMO,AMO Electric Jaunty	,"59,966	",80,2.11
143,Ozotec,Ozotec Flio	,1.13 Lakh	,60,3.2
144,Hero,Hero Electric Photon	,1.10 Lakh	,,
145,Ather,Ather 450S	,1.29 Lakh	,115,
146,Warivo,Warivo Motors Queen	,"46,800	",95,2.64
147,Lectrix,Lectrix EV LXS	,"91,253	",89,
148,Zelio,Zelio Gracy i	,"56,825	",60,1.68
149,Ujaas,Ujaas eZy	,"31,880	",60,1.25
150,Komaki,Komaki LY	,"95,866	",80,
151,BGauss,BGauss D15	,1.34 Lakh	,115,
152,HCD,HCD India NPS Cargo	,"75,850	",,
153,Gravton,Gravton Quanta	,"99,000	",70,
154,Okinawa,Okinawa Dual 100	,1.19 Lakh	,110,
155,Deltic,Deltic Drixx	,"58,490	",70,
156,Ujaas,Ujaas eGo LA	,"34,880	",75,
